# index cotheta theta phi
3.8100e+02 5.4771e-01 6.7766e-01 1.8717e+00
3.8200e+02 1.7035e+00 3.3763e-01 1.7984e+00
3.8300e+02 -5.6196e-02 9.3800e-01 5.8644e+00
3.8400e+02 -4.0752e-02 5.1325e-01 4.8534e+00
3.8500e+02 8.9162e-01 7.9693e-01 9.3188e-01
3.8600e+02 9.7416e-01 1.1213e+00 2.7059e+00
3.8700e+02 1.5393e+00 8.2279e-01 2.7108e+00
3.8800e+02 4.9470e-01 4.2469e-01 5.4132e+00
3.8900e+02 -6.5409e-01 9.3658e-01 3.7899e+00
3.9000e+02 2.9372e-01 9.3547e-01 5.9841e+00
3.9100e+02 1.2982e+00 9.1477e-01 1.5486e+00
3.9200e+02 2.2475e+00 7.5280e-01 2.3562e+00
3.9300e+02 8.6534e-01 9.6657e-01 5.3149e+00
3.9400e+02 6.1449e-01 1.2732e+00 7.6246e-01
3.9500e+02 4.7931e-01 1.0354e+00 1.7128e+00
3.9600e+02 2.7442e+00 1.0678e+00 2.1067e+00
3.9700e+02 -3.7455e-01 4.3393e-01 5.7448e+00
3.9800e+02 1.2601e+00 1.1266e+00 2.4098e+00
3.9900e+02 1.2207e+00 1.1925e+00 1.2821e+00
4.0000e+02 7.9823e-01 1.2209e+00 7.3057e-01
4.0100e+02 8.3510e-01 9.7430e-01 1.8813e+00
4.0200e+02 1.0943e+00 9.4794e-01 3.6973e-01
4.0300e+02 1.1325e+00 6.2081e-01 3.1046e+00
4.0400e+02 1.1725e+00 5.8834e-01 1.6898e+00
4.0500e+02 8.7775e-01 8.2822e-01 2.8188e+00
4.0600e+02 2.7067e+00 7.5299e-01 2.2773e+00
4.0700e+02 1.1194e+00 7.1200e-01 2.3532e+00
4.0800e+02 1.4763e+00 5.6163e-01 4.8028e-01
4.0900e+02 2.3474e+00 3.4075e-01 1.3455e+00
4.1000e+02 7.6827e-01 5.8002e-01 2.7690e+00
4.1100e+02 6.3262e-01 8.5036e-01 3.4499e+00
4.1200e+02 8.1706e-01 9.7876e-01 2.9442e+00
4.1300e+02 2.8736e+00 5.9423e-01 2.4127e+00
4.1400e+02 1.0301e+00 1.3655e+00 1.7880e+00
4.1500e+02 1.3278e+00 9.0500e-01 2.1180e+00
4.1600e+02 1.6556e+00 2.9505e-01 2.2344e+00
4.1700e+02 1.6618e+00 1.2827e+00 2.1437e+00
4.1800e+02 2.2406e+00 3.3224e-01 1.4872e+00
4.1900e+02 3.7467e-01 4.5463e-01 7.8540e-01
4.2000e+02 1.7213e+00 1.1924e+00 1.9260e+00
4.2100e+02 1.0240e+00 5.4784e-01 4.1137e+00
4.2200e+02 3.3096e-01 8.0582e-01 3.2689e+00
4.2300e+02 1.2740e+00 1.0696e+00 2.8018e+00
4.2400e+02 2.6309e-01 1.2527e+00 1.2047e+00
4.2500e+02 1.3436e+00 1.3959e+00 1.4156e+00
4.2600e+02 1.6343e+00 6.2403e-01 3.0301e+00
4.2700e+02 7.1432e-01 4.5824e-01 2.2033e+00
4.2800e+02 7.3862e-01 5.5691e-01 4.9265e+00
4.2900e+02 1.0180e+00 1.1029e+00 1.1129e+00
4.3000e+02 1.1984e+00 1.2541e+00 2.2584e+00
4.3100e+02 1.6370e+00 1.1662e+00 2.0796e+00
4.3200e+02 7.9496e-01 1.2446e+00 1.4720e+00
4.3300e+02 -4.5299e-01 7.5456e-01 2.7667e+00
4.3400e+02 2.0487e-01 9.9789e-01 3.3664e+00
